month,channel,marketing_spend
2025-01,organic,0.0
2025-01,email,854.05
2025-01,social_media,2787.91
2025-01,search_ads,3589.3
2025-01,referral,282.66
2025-02,organic,0.0
2025-02,email,892.18
2025-02,social_media,2303.16
2025-02,search_ads,4256.74
2025-02,referral,268.88
2025-03,organic,0.0
2025-03,email,884.55
2025-03,social_media,2828.37
2025-03,search_ads,4473.65
2025-03,referral,269.4
2025-04,organic,0.0
2025-04,email,835.91
2025-04,social_media,2851.91
2025-04,search_ads,3625.51
2025-04,referral,275.29
2025-05,organic,0.0
2025-05,email,909.32
2025-05,social_media,2430.98
2025-05,search_ads,4577.92
2025-05,referral,261.72
2025-06,organic,0.0
2025-06,email,872.59
2025-06,social_media,2788.08
2025-06,search_ads,3832.22
2025-06,referral,315.66
