order_id,order_date,customer_id,customer_segment,age_group,marketing_channel,device,product_category,unit_price,discount_percent,quantity,final_order_value,delivery_days,customer_rating,returned
ORD102024,2025-01-01,CUST02214,returning,18-24,organic,desktop,clothing,37.94,15,1,32.25,6,5,False
ORD103143,2025-01-01,CUST02195,new,25-34,social_media,desktop,home,116.92,0,1,116.92,8,4,False
ORD100178,2025-01-01,CUST00563,new,35-44,organic,desktop,clothing,63.7,10,3,171.99,4,5,False
ORD100175,2025-01-01,CUST00703,new,25-34,social_media,mobile,electronics,141.77,5,2,269.36,11,5,True
ORD101491,2025-01-01,CUST01526,new,35-44,social_media,mobile,electronics,108.49,30,2,151.89,9,4,False
ORD102870,2025-01-01,CUST01882,returning,18-24,referral,mobile,beauty,12.29,10,1,11.06,4,5,False
ORD102866,2025-01-01,CUST02300,returning,35-44,social_media,mobile,home,61.12,10,1,55.01,6,5,False
ORD102829,2025-01-01,CUST01841,returning,25-34,organic,mobile,clothing,23.86,10,2,42.95,7,4,False
ORD102779,2025-01-01,CUST00656,new,25-34,email,desktop,clothing,28.85,0,1,28.85,4,4,False
ORD101617,2025-01-01,CUST00689,returning,35-44,search_ads,mobile,sports,75.85,10,1,68.26,6,4,False
ORD102681,2025-01-01,CUST00042,new,55+,search_ads,mobile,clothing,20.68,20,2,33.09,4,4,False
ORD102673,2025-01-01,CUST00485,returning,25-34,organic,mobile,clothing,74.1,15,2,125.97,2,5,False
ORD101631,2025-01-01,CUST02535,new,35-44,social_media,desktop,sports,94.44,10,2,169.99,4,5,False
ORD101647,2025-01-01,CUST00381,new,25-34,organic,desktop,electronics,99.21,15,3,252.99,8,4,False
ORD100111,2025-01-01,CUST02678,new,45-54,email,desktop,electronics,281.08,10,1,252.97,4,5,False
ORD102509,2025-01-01,CUST01789,new,18-24,organic,desktop,clothing,65.71,15,1,55.85,6,5,False
ORD102501,2025-01-01,CUST03046,returning,18-24,social_media,desktop,home,87.38,15,1,74.27,1,5,False
ORD102430,2025-01-01,CUST00765,returning,35-44,organic,desktop,home,58.31,10,1,52.48,7,5,False
ORD105080,2025-01-01,CUST00572,new,25-34,referral,desktop,home,58.75,0,3,176.25,1,4,False
ORD105085,2025-01-01,CUST02085,new,18-24,email,mobile,electronics,105.55,15,1,89.72,7,4,False
ORD102384,2025-01-01,CUST00107,new,18-24,organic,mobile,home,71.93,0,2,143.86,6,5,False
ORD102345,2025-01-01,CUST02937,new,18-24,search_ads,mobile,sports,45.62,20,1,36.5,5,5,False
ORD102325,2025-01-01,CUST00072,new,18-24,search_ads,mobile,home,91.8,15,1,78.03,6,5,True
ORD100061,2025-01-01,CUST02376,returning,55+,email,mobile,home,99.09,10,1,89.18,3,5,False
ORD101293,2025-01-01,CUST02185,returning,35-44,social_media,desktop,electronics,238.05,0,1,238.05,9,5,False
ORD102270,2025-01-01,CUST01283,returning,35-44,email,mobile,sports,67.13,0,2,134.26,5,5,False
ORD103216,2025-01-01,CUST01559,returning,55+,social_media,desktop,sports,40.11,20,2,64.18,5,5,False
ORD103277,2025-01-01,CUST03193,returning,35-44,social_media,mobile,home,45.86,0,1,45.86,3,5,False
ORD104547,2025-01-01,CUST00864,returning,45-54,search_ads,mobile,beauty,51.4,0,3,154.2,4,4,False
ORD104323,2025-01-01,CUST00432,returning,45-54,organic,mobile,home,84.13,10,2,151.43,5,5,False
ORD104258,2025-01-01,CUST00924,new,25-34,search_ads,mobile,home,70.99,15,2,120.68,6,5,False
ORD104604,2025-01-01,CUST00253,new,55+,email,mobile,electronics,174.68,5,2,331.89,4,5,False
ORD100701,2025-01-01,CUST02479,new,45-54,search_ads,mobile,sports,74.61,20,1,59.69,6,5,False
ORD104151,2025-01-01,CUST01532,new,45-54,organic,mobile,clothing,30.1,5,2,57.19,8,4,False
ORD104145,2025-01-01,CUST01581,returning,35-44,search_ads,desktop,beauty,49.37,10,2,88.87,6,5,False
ORD104134,2025-01-01,CUST01008,new,35-44,organic,mobile,home,90.35,15,3,230.39,4,5,False
ORD104632,2025-01-01,CUST03063,returning,55+,organic,mobile,clothing,31.07,0,1,31.07,7,5,False
ORD104106,2025-01-01,CUST01286,new,55+,organic,mobile,home,120.9,5,1,114.86,2,5,False
ORD104073,2025-01-01,CUST01665,new,35-44,social_media,mobile,clothing,29.26,0,3,87.78,3,5,False
